dose_date,imputed_fraction_of_cohort
2020-12-21/2020-12-27,1.4648795136600015e-05
2020-12-28/2021-01-03,5.127078297810005e-05
2021-01-04/2021-01-10,6.591957811470006e-05
2021-01-11/2021-01-17,0.00017578554163920018
2021-01-18/2021-01-24,8.789277081960009e-05
2021-01-25/2021-01-31,3.6621987841500034e-05
2021-02-08/2021-02-14,7.324397568300007e-06
2021-02-15/2021-02-21,2.929759027320003e-05
2021-02-22/2021-02-28,5.859518054640006e-05
2021-03-01/2021-03-07,0.00016846114407090016
2021-03-08/2021-03-14,0.00015381234893430015
2021-03-15/2021-03-21,0.00011719036109280012
2021-03-22/2021-03-28,0.00011719036109280012
2021-03-29/2021-04-04,0.00011719036109280012
2021-04-05/2021-04-11,0.00016846114407090016
2021-04-12/2021-04-18,0.0004980590346444005
2021-04-19/2021-04-25,0.0013110671647257014
2021-04-26/2021-05-02,0.0012451475866110011
2021-05-03/2021-05-09,0.0007617373471032007
2021-05-10/2021-05-16,0.0005932762030323006
2021-05-17/2021-05-23,0.00027100271002710027
2021-05-24/2021-05-30,0.00017578554163920018
2021-05-31/2021-06-06,0.00014648795136600013
2021-06-07/2021-06-13,0.00013916355379770014
2021-06-14/2021-06-20,0.00013183915622940013
2021-06-21/2021-06-27,9.521716838790009e-05
2021-06-28/2021-07-04,4.3946385409800044e-05
2021-07-05/2021-07-11,2.929759027320003e-05
2021-07-12/2021-07-18,7.324397568300007e-05
2021-07-19/2021-07-25,5.859518054640006e-05
2021-07-26/2021-08-01,5.859518054640006e-05
2021-08-02/2021-08-08,5.859518054640006e-05
2021-08-09/2021-08-15,2.929759027320003e-05
2021-08-16/2021-08-22,5.127078297810005e-05
2021-08-23/2021-08-29,5.859518054640006e-05
2021-08-30/2021-09-05,2.1973192704900022e-05
2021-09-06/2021-09-12,1.4648795136600015e-05
2021-09-13/2021-09-19,2.929759027320003e-05
2021-09-27/2021-10-03,7.324397568300007e-06
2021-10-04/2021-10-10,7.324397568300007e-06
2021-10-11/2021-10-17,1.4648795136600015e-05
2021-10-25/2021-10-31,1.4648795136600015e-05
2021-11-01/2021-11-07,1.4648795136600015e-05
2021-11-08/2021-11-14,4.3946385409800044e-05
2021-11-15/2021-11-21,2.1973192704900022e-05
2021-11-22/2021-11-28,5.127078297810005e-05
2021-11-29/2021-12-05,4.3946385409800044e-05
2021-12-06/2021-12-12,7.324397568300007e-06
2021-12-13/2021-12-19,1.4648795136600015e-05
2021-12-27/2022-01-02,7.324397568300007e-06
